id,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
2925537.0,-3,-1,-1
2925538.0,5,136001300,29
2925539.0,-3,-1,-1
2925540.0,5,136001300,29
2925541.0,-3,-1,-1
2925542.0,5,136001300,29
2925543.0,5,136001300,29
2925544.0,-3,-1,-1
2925545.0,-3,1008000000,113
2925546.0,-3,-1,-1
2925547.0,-3,-1,-1
2925548.0,-3,1008000000,113
2925549.0,-3,-1,-1
2925550.0,-3,1008000000,113
2925551.0,1,-1,-1
2925552.0,-3,1008000000,113
2925553.0,1,-1,-1
2925554.0,-3,-1,-1
2925555.0,-3,-1,-1
2925556.0,-3,-1,-1
2925557.0,-3,-1,-1
2925558.0,1,-1,-1
2925559.0,-3,-1,-1
2925560.0,-3,-1,-1
2925561.0,-3,-1,-1
2925562.0,1,-1,-1
2925563.0,-3,-1,-1
2925564.0,1,-1,-1
2925565.0,-3,-1,-1
2925566.0,1,-1,-1
2925567.0,-3,-1,-1
2925568.0,-3,-1,-1
2925569.0,-3,-1,-1
2925570.0,5,3225259367,173
2925571.0,5,3225259367,173
2925572.0,2,364000000,34
2925573.0,-3,-1,-1
2925574.0,-3,-1,-1
2925575.0,2,364000000,34
2925576.0,-3,-1,-1
2925577.0,2,364000000,34
2925578.0,2,364000000,34
2925579.0,-3,-1,-1
2925580.0,-3,-1,-1
2925581.0,-3,-1,-1
2925582.0,11,11528774954,309
2925583.0,-3,-1,71
2925584.0,-3,-1,-1
2925585.0,11,11528774954,309
2925586.0,-3,-1,71
2925587.0,42,4348396530,179
2925588.0,2,-1,-1
2925589.0,-3,-1,-1
2925590.0,2,-1,-1
2925591.0,-3,-1,-1
2925592.0,-3,-1,-1
2925593.0,2,-1,-1
2925594.0,-3,-1,-1
2925595.0,2,-1,-1
2925596.0,-3,-1,-1
2925597.0,-3,456374022,206
2925598.0,-3,-1,-1
2925599.0,-3,-1,-1
2925600.0,-3,456374022,206
2925601.0,-3,-1,-1
2925602.0,42,4348396530,179
2925603.0,-3,456374022,206
2925604.0,-3,-1,-1
2925605.0,-3,11013249426,54
2925606.0,-3,456374022,206
2925607.0,-3,11013249426,54
2925608.0,-3,-1,-1
2925609.0,-3,-1,-1
2925610.0,-3,-1,-1
2925611.0,-3,-1,-1
2925612.0,-3,-1,-1
2925613.0,-3,-1,-1
2925614.0,-3,-1,-1
2925615.0,2,-1,-1
2925616.0,-3,-1,-1
2925617.0,2,-1,-1
2925618.0,-3,-1,-1
2925619.0,2,-1,-1
2925620.0,2,-1,-1
2925621.0,-3,-1,-1
2925622.0,-3,-1,-1
2925623.0,1,-1,-1
2925624.0,-3,-1,-1
2925625.0,1,-1,-1
2925626.0,-3,-1,-1
2925627.0,4,333333500,236
2925628.0,1,-1,-1
2925629.0,4,333333500,236
2925630.0,1,-1,-1
2925631.0,-3,-1,-1
2925632.0,-3,-1,-1
2925633.0,-3,-1,-1
2925634.0,-3,-1,-1
2925635.0,-3,-1,-1
2925636.0,-3,-1,-1
2925637.0,-3,-1,-1
2925638.0,-3,-1,-1
2925639.0,-3,-1,-1
2925640.0,13,-1,-1
2925641.0,-3,-1,-1
2925642.0,-3,-1,-1
2925643.0,-3,591134623,185
2925644.0,13,-1,-1
2925645.0,-3,-1,-1
2925646.0,-3,-1,-1
2925647.0,-3,591134623,185
2925648.0,-3,-1,-1
2925649.0,-3,-1,-1
2925650.0,1,3369374993,50
2925651.0,13,-1,-1
2925652.0,-3,-1,-1
2925653.0,-3,591134623,185
2925654.0,1,3369374993,50
2925655.0,13,-1,-1
2925656.0,-3,-1,-1
2925657.0,-3,591134623,185
2925658.0,-3,-1,-1
2925659.0,1,3369374993,50
2925660.0,1,3369374993,50
2925661.0,4,1947640089,15
2925662.0,4,1947640089,15
2925663.0,-3,-1,-1
2925664.0,2,-1,4
2925665.0,-3,-1,-1
2925666.0,-3,-1,-1
2925667.0,-3,-1,-1
2925668.0,2,-1,4
2925669.0,-3,-1,-1
2925670.0,-3,-1,-1
2925671.0,-3,-1,-1
2925672.0,2,-1,4
2925673.0,-3,-1,-1
2925674.0,-3,-1,-1
2925675.0,2,-1,4
2925676.0,-3,-1,-1
2925677.0,-3,-1,-1
2925678.0,-3,-1,-1
2925679.0,2,-1,-1
2925680.0,2,-1,-1
2925681.0,-3,-1,-1
2925682.0,-3,-1,-1
2925683.0,-3,-1,-1
2925684.0,-3,591134623,185
2925685.0,-3,-1,-1
2925686.0,-3,591134623,185
2925687.0,3,-1,-1
2925688.0,-3,-1,-1
2925689.0,-3,-1,-1
2925690.0,-3,-1,-1
2925691.0,-3,-1,-1
2925692.0,3,-1,-1
2925693.0,-3,-1,-1
2925694.0,-3,-1,-1
2925695.0,-3,-1,-1
2925696.0,3,-1,-1
2925697.0,-3,-1,-1
2925698.0,-3,-1,-1
2925699.0,3,-1,-1
2925700.0,-3,-1,-1
2925701.0,-3,-1,-1
2925702.0,-3,-1,-1
2925703.0,-3,-1,-1
2925704.0,-3,-1,357
2925705.0,-3,-1,-1
2925706.0,6,1162641874,27
2925707.0,-3,-1,-1
2925708.0,-3,-1,-1
2925709.0,-3,-1,357
2925710.0,-3,-1,-1
2925711.0,6,1162641874,27
2925712.0,-3,-1,-1
2925713.0,-3,-1,357
2925714.0,-3,-1,-1
2925715.0,-3,-1,-1
2925716.0,-3,-1,357
2925717.0,2,1361270216,421
2925718.0,-3,-1,-1
2925719.0,2,1361270216,421
2925720.0,2,-1,-1
2925721.0,-3,-1,-1
2925722.0,2,-1,-1
2925723.0,-3,-1,-1
2925724.0,2,-1,-1
2925725.0,2,-1,4
2925726.0,-3,-1,-1
2925727.0,-3,-1,-1
2925728.0,-3,-1,-1
2925729.0,-3,-1,-1
2925730.0,2,-1,-1
2925731.0,2,-1,4
2925732.0,-3,-1,-1
2925733.0,-3,-1,-1
2925734.0,2,-1,4
2925735.0,-3,-1,-1
2925736.0,1,-1,-1
2925737.0,-3,-1,-1
2925738.0,5,4491314039,56
2925739.0,2,-1,4
2925740.0,1,1469998800,15
2925741.0,-3,-1,-1
2925742.0,-3,-1,-1
2925743.0,-3,-1,-1
2925744.0,1,-1,-1
2925745.0,-3,-1,-1
2925746.0,5,4491314039,56
2925747.0,1,1469998800,15
2925748.0,-3,-1,-1
2925749.0,-3,-1,-1
2925750.0,2,707319423,223
2925751.0,-3,-1,-1
2925752.0,-3,-1,-1
2925753.0,2,707319423,223
2925754.0,-3,-1,-1
2925755.0,2,707319423,223
2925756.0,-3,-1,-1
2925757.0,2,707319423,223
2925758.0,-3,-1,-1
2925759.0,2,-1,-1
2925760.0,-3,-1,-1
2925761.0,-3,-1,-1
2925762.0,2,-1,-1
2925763.0,-3,-1,-1
2925764.0,3,-1,0
2925765.0,2,-1,-1
2925766.0,-3,-1,-1
2925767.0,2,-1,-1
2925768.0,-3,-1,-1
2925769.0,3,-1,0
2925770.0,-3,-1,-1
2925771.0,2,-1,-1
2925772.0,3,-1,-1
2925773.0,2,-1,-1
2925774.0,-3,-1,-1
2925775.0,-3,-1,-1
2925776.0,3,-1,0
2925777.0,-3,-1,-1
2925778.0,-3,-1,-1
2925779.0,3,-1,-1
2925780.0,-3,-1,-1
2925781.0,3,-1,0
2925782.0,-3,-1,-1
2925783.0,2,-1,-1
2925784.0,-3,-1,-1
2925785.0,3,-1,-1
2925786.0,2,-1,-1
2925787.0,3,-1,-1
2925788.0,-3,-1,299
2925789.0,-3,-1,-1
2925790.0,-3,-1,299
2925791.0,-3,-1,-1
2925792.0,4,-1,51
2925793.0,-3,-1,299
2925794.0,-3,-1,-1
2925795.0,-3,-1,299
